A	
221202	Lekarz – anestezjologia i intensywna terapia
221203	Lekarz – angiologia
221204	Lekarz – audiologia i foniatria
221205	Lekarz – balneologia i medycyna fizykalna
221206	Lekarz – chirurgia dziecięca
221207	Lekarz – chirurgia klatki piersiowej
221208	Lekarz – chirurgia naczyniowa
221209	Lekarz – chirurgia ogólna
221210	Lekarz – chirurgia onkologiczna
221211	Lekarz – chirurgia plastyczna
221212	Lekarz – chirurgia szczękowo-twarzowa
221213	Lekarz – choroby płuc
221214	Lekarz – choroby wewnętrzne
221215	Lekarz – choroby zakaźne
221216	Lekarz – dermatologia i wenerologia
221217	Lekarz – diabetologia
221218	Lekarz – diagnostyka laboratoryjna
221219	Lekarz – endokrynologia
221220	Lekarz – epidemiologia
221221	Lekarz – farmakologia kliniczna
221222	Lekarz – gastroenterologia
221223	Lekarz – genetyka kliniczna
221224	Lekarz – geriatria
221225	Lekarz – ginekologia onkologiczna
221226	Lekarz – hematologia
221227	Lekarz – hipertensjologia
221228	Lekarz – immunologia kliniczna
 
221229	Lekarz – kardiochirurgia
221230	Lekarz – kardiologia
221231	Lekarz – kardiologia dziecięca
221232	Lekarz – medycyna nuklearna
221233	Lekarz – medycyna paliatywna
221234	Lekarz – medycyna pracy
221235	Lekarz – medycyna ratunkowa
221236	Lekarz – medycyna rodzinna
221237	Lekarz – medycyna sądowa
221238	Lekarz – medycyna sportowa
221239	Lekarz – medycyna transportu
221240	Lekarz – mikrobiologia lekarska
221241	Lekarz – nefrologia
221242	Lekarz – neonatologia
221243	Lekarz – neurochirurgia
221244	Lekarz – neurologia
221245	Lekarz – neurologia dziecięca
221246	Lekarz – neuropatologia
221247	Lekarz – okulistyka
221248	Lekarz – onkologia i hematologia dziecięca
221249	Lekarz – onkologia kliniczna
221250	Lekarz – ortopedia i traumatologia narządu ruchu
221251	Lekarz – otorynolaryngologia
221252	Lekarz – otorynolaryngologia dziecięca
221253	Lekarz – patomorfologia
221254	Lekarz – pediatria
221255	Lekarz – położnictwo i ginekologia
221256	Lekarz – psychiatria
221257	Lekarz – psychiatria dzieci i młodzieży
221258	Lekarz – radiologia i diagnostyka obrazowa
221259	Lekarz – radioterapia onkologiczna
221260	Lekarz – rehabilitacja medyczna
221261	Lekarz – reumatologia
221262	Lekarz – seksuologia
221263	Lekarz – toksykologia kliniczna
221264	Lekarz – transfuzjologia kliniczna
221265	Lekarz – transplantologia kliniczna
221266	Lekarz – urologia
221267	Lekarz – urologia dziecięca
221268	Lekarz – zdrowie publiczne
226101	Lekarz dentysta
226201	Lekarz dentysta – chirurgia stomatologiczna
226202	Lekarz dentysta – chirurgia szczękowo-twarzowa
 
226203	Lekarz dentysta – epidemiologia
226204	Lekarz dentysta – ortodoncja
226205	Lekarz dentysta – periodontologia
226206	Lekarz dentysta – protetyka stomatologiczna
226207	Lekarz dentysta – stomatologia dziecięca
226208	Lekarz dentysta – stomatologia zachowawcza z endodoncją
226209	Lekarz dentysta – zdrowie publiczne
225101	Lekarz weterynarii
225201	Lekarz weterynarii – specjalista chirurgii weterynaryjnej
225202	Lekarz weterynarii – specjalista chorób drobiu i ptaków ozdobnych
225203	Lekarz weterynarii – specjalista chorób koni
225204	Lekarz weterynarii – specjalista chorób owadów użytkowych
225205	Lekarz weterynarii – specjalista chorób przeżuwaczy
225206	Lekarz weterynarii – specjalista chorób psów i kotów
225207	Lekarz weterynarii – specjalista chorób ryb
225208	Lekarz weterynarii – specjalista chorób trzody chlewnej
225209	Lekarz weterynarii – specjalista chorób zwierząt futerkowych
225210	Lekarz weterynarii – specjalista chorób zwierząt nieudomowionych
225211	Lekarz weterynarii – specjalista epizootiologii i administracji weterynaryjnej
225212	
Lekarz weterynarii – specjalista higieny zwierząt rzeźnych i żywności pochodzenia zwierzęcego
225213	Lekarz weterynarii – specjalista prewencji weterynaryjnej i higieny pasz
225214	Lekarz weterynarii – specjalista radiologii weterynaryjnej
225215	Lekarz weterynarii – specjalista rozrodu zwierząt
225216	Lekarz weterynarii – specjalista użytkowania i patologii zwierząt laboratoryjnych
225217	Lekarz weterynarii – specjalista weterynaryjnej diagnostyki laboratoryjnej
265603	Lektor dialogów filmowych i radiowych
235301	Lektor języka angielskiego
235302	Lektor języka francuskiego
235303	Lektor języka hiszpańskiego
235304	Lektor języka niemieckiego
235305	Lektor języka rosyjskiego
235306	Lektor języka włoskiego
333902	Licytator
932903	Liczarz
242306	Lider klubu pracy
331502	Likwidator szkód
441203	Listonosz
243202	Lobbysta
214106	Logistyk
228502	Logopeda
228503	Logopeda – neurologopedia
228504	Logopeda – surdologopedia
 
721103	Ludwisarz
731605	Lustrzarz
721201	Lutowacz
Ł	
933301	Ładowacz
961101	Ładowacz nieczystości płynnych
961102	Ładowacz nieczystości stałych
911201	Łazienkowa
731703	Łubiankarz
M	
432103	Magazynier
912101	Maglarz
332401	Makler giełd towarowych
332402	Makler morski
242103	Makler nadzorujący
331102	Makler papierów wartościowych
713101	Malarz - tapeciarz
713102	Malarz budowlany
713103	Malarz konstrukcji i wyrobów metalowych
713206	Malarz lakiernik samolotowy
713207	Malarz lakiernik wyrobów metalowych
831205	Manewrowy
831206	Manewrowy metra
514203	Manikiurzystka
752102	Manipulant drewna okrągłego
835003	Marynarz statku morskiego
835004	Marynarz w żegludze śródlądowej
612110	Masztalerz
313105	Maszynista agregatów prądotwórczych
313202	Maszynista chłodni
834301	Maszynista doku
834302	Maszynista górniczych maszyn wyciągowych
834303	Maszynista kolei linowych
818201	Maszynista kotła
732204	Maszynista maszyn fleksograficznych
732205	Maszynista maszyn offsetowych
732206	Maszynista maszyn typograficznych
732207	Maszynista maszyn wklęsłodrukowych
834304	Maszynista obsługujący urządzenia do napełniania i opróżniania zbiorników
831103	Maszynista pociągu metra
831104	Maszynista pojazdu trakcyjnego
831105	Maszynista pomocniczych pojazdów kolejowych metra
834305	Maszynista specjalistycznych dźwignic kolejowych
 
313203	Maszynista sprężarek
313106	Maszynista turbozespołu parowego
313107	Maszynista turbozespołu wodnego
313108	Maszynista urządzeń ciepłowniczych elektrowni
818202	Maszynista urządzeń nawęglania
818203	Maszynista urządzeń odpopielania i odżużlania
313109	Maszynista urządzeń pomocniczych elektrowni
313204	Maszynista wentylatorów w kopalni
831106	Maszynista wieloczynnościowych i ciężkich maszyn do kolejowych robót budowlanych
413101	Maszynistka
751301	Maślarz
212002	Matematyk
723101	Mechanik autobusów
731102	Mechanik automatyki przemysłowej i urządzeń precyzyjnych
723102	Mechanik ciągników
723301	Mechanik / konserwator urządzeń do napełniania i opróżniania zbiorników
723302	Mechanik / konserwator urządzeń dźwignicowych
723303	Mechanik maszyn i urządzeń budowlanych i melioracyjnych
723304	Mechanik maszyn i urządzeń do obróbki metali
834201	Mechanik maszyn i urządzeń drogowych
723305	Mechanik maszyn i urządzeń górnictwa odkrywkowego
723306	Mechanik maszyn i urządzeń górnictwa podziemnego
723307	Mechanik maszyn i urządzeń przemysłowych
723308	Mechanik maszyn rolniczych
723309	Mechanik maszyn szwalniczych
723310	Mechanik - monter maszyn i urządzeń
834103	Mechanik - operator pojazdów i maszyn rolniczych
723311	Mechanik okrętowy
723201	Mechanik płatowców
723401	Mechanik pojazdów jednośladowych
723103	Mechanik pojazdów samochodowych
315301	Mechanik pokładowy
731103	Mechanik precyzyjny
723104	Mechanik samochodów ciężarowych
723105	Mechanik samochodów osobowych
723202	Mechanik silników lotniczych
723312	Mechanik silników spalinowych
315101	Mechanik statku żeglugi śródlądowej
723313	Mechanik taboru kolejowego
712701	Mechanik urządzeń chłodniczych
712702	Mechanik urządzeń klimatyzacyjnych
723203	Mechanik wyposażenia lotniczego statków powietrznych
 
263502	Mediator
931203	Meliorant
342204	Menedżer imprez sportowych
342203	Menedżer dyscypliny sportu
343908	Menedżer klubu muzycznego
243103	Menedżer produktu
342205	Menedżer sportu
262205	Menedżer zawartości serwisów internetowych
731302	Metaloplastyk
211202	Meteorolog
235103	Metodyk edukacji na odległość
235104	Metodyk multimedialny
214922	Metrolog
213108	Mikrobiolog
352107	Mikser dźwięku
352108	Mikser obrazu
265503	Mim
312301	Mistrz produkcji w budownictwie drogowym
312302	Mistrz produkcji w budownictwie kolejowym
312303	Mistrz produkcji w budownictwie mostowym
312304	Mistrz produkcji w budownictwie ogólnym
312305	Mistrz produkcji w budownictwie przemysłowym
312306	Mistrz produkcji w budownictwie wodnym
312101	Mistrz produkcji w górnictwie odkrywkowym
312102	Mistrz produkcji w górnictwie otworowym
312103	Mistrz produkcji w górnictwie podziemnym
312201	Mistrz produkcji w przemyśle chemicznym
312202	Mistrz produkcji w przemyśle drzewnym
312203	Mistrz produkcji w przemyśle elektromaszynowym
312204	Mistrz produkcji w przemyśle elektronicznym
312205	Mistrz produkcji w przemyśle farmaceutycznym
312206	Mistrz produkcji w przemyśle metalurgicznym
312207	Mistrz produkcji w przemyśle samochodowym
312208	Mistrz produkcji w przemyśle spożywczym
312209	Mistrz produkcji w przemyśle włókienniczym
751401	Młynarz
721104	Modelarz odlewniczy
731406	Modelarz odlewnik gipsowych form roboczych
731704	Modelarz wyrobów plecionkarskich
524101	Modelka / model prezentacji ubiorów
524102	Modelka / model twórczości reklamowej i artystycznej
753107	Modystka
732106	Moletownik
 
711901	Montażysta dekoracji
352109	Montażysta dźwięku
352110	Montażysta obrazu
732107	Montażysta reprodukcyjny
742102	Monter - elektronik
723314	Monter - instalator urządzeń technicznych w budownictwie wiejskim
721501	Monter / konserwator kolei linowych
723315	Monter / konserwator urządzeń przeciwpożarowych
742113	Monter / konserwator urządzeń zabezpieczeń technicznych osób i mienia
712501	Monter / składacz okien
731201	Monter akordeonów
821101	Monter aparatów i przyrządów optycznych
821102	Monter aparatury i urządzeń chemicznych
821301	Monter aparatury i urządzeń techniki jądrowej
821201	Monter aparatury rozdzielczej i kontrolnej energii elektrycznej
721401	Monter bram
711701	Monter budownictwa wodnego
821302	Monter elektronicznego wyposażenia maszyn i urządzeń
742103	Monter elektronik – aparatura medyczna
742104	Monter elektronik – aparatura pomiarowa
742105	Monter elektronik – elektroniczne instrumenty muzyczne
742106	Monter elektronik – elektroniczny sprzęt sygnalizacyjny i systemy sygnalizacyjne
742107	Monter elektronik – instalacja anten
742108	Monter elektronik – naprawa sprzętu audiowizualnego
742109	Monter elektronik – sprzęt komputerowy
742110	Monter elektronik – układy elektroniczne automatyki przemysłowej
742111	Monter elektronik – urządzenia radiokomunikacyjne
742112	Monter elektronik – urządzenia radiowo-telewizyjne
821303	Monter elektroniki samochodowej
821202	Monter elektrycznego sprzętu gospodarstwa domowego
821203	Monter elektrycznych przyrządów pomiarowych
731202	Monter fortepianów i pianin
712602	Monter instalacji centralnego ogrzewania i ciepłej wody
712603	Monter instalacji gazowych
712604	Monter instalacji i urządzeń sanitarnych
742201	Monter instalacji i urządzeń telekomunikacyjnych (telemonter)
712703	Monter instalacji wentylacyjnych i klimatyzacyjnych
731203	Monter instrumentów dętych blaszanych
731204	Monter instrumentów lutniczych
731205	Monter instrumentów muzycznych
731206	Monter instrumentów perkusyjnych
712401	Monter izolacji budowlanych
 
712402	Monter izolacji chemoodpornych i antykorozyjnych
712403	Monter izolacji przemysłowych
721402	Monter kadłubów okrętowych
711201	Monter kamiennych elementów budowlanych
721403	Monter konstrukcji aluminiowych
711102	Monter konstrukcji budowlanych
721502	Monter konstrukcji linowych stałych
721404	Monter konstrukcji stalowych
821103	Monter kotłów i armatury kotłowej
821204	Monter maszyn elektrycznych
821104	Monter maszyn i urządzeń okrętowych
821105	Monter maszyn i urządzeń przemysłowych
821902	Monter mebli
821106	Monter mechanizmów i przyrządów precyzyjnych
742114	Monter mechatronik
711603	Monter nawierzchni kolejowej
821107	Monter obrabiarek
712301	Monter ociepleń budynków
821205	Monter osprzętu elektrotechnicznego
821108	Monter płatowców i śmigłowców
712901	Monter płyt kartonowo - gipsowych
821304	Monter podzespołów i zespołów elektronicznych
821109	Monter pojazdów i urządzeń transportowych
711902	Monter reklam
821903	Monter rowerów i wózków
712605	Monter rurociągów górniczych
712606	Monter rurociągów okrętowych
712607	Monter rurociągów przemysłowych
711903	Monter rusztowań
723106	Monter samochodowej instalacji gazowej (LPG)
712608	Monter sieci cieplnych
712609	Monter sieci deszczownianych
712610	Monter sieci gazowych
742202	Monter sieci i urządzeń telekomunikacyjnych
712611	Monter sieci komunalnych
742203	Monter sieci telekomunikacyjnych
712612	Monter sieci wodnych i kanalizacyjnych
712616	Monter sieci, instalacji i urządzeń sanitarnych
821110	Monter silników spalinowych
821111	Monter sprzętu gospodarstwa domowego
821206	Monter sprzętu oświetleniowego i lamp elektrycznych
821305	Monter sprzętu radiowego i telewizyjnego
 
712902	Monter suchej zabudowy
712613	Monter systemów rurociągowych
821112	Monter taboru szynowego
821113	Monter układów hydraulicznych i pneumatycznych
821114	Monter urządzeń chłodniczych i gastronomicznych
712614	Monter urządzeń energii odnawialnej
821115	Monter urządzeń laserowych
821116	Monter urządzeń sterowania ruchem kolejowym
742115	Monter urządzeń sterowania ruchem pociągów metra
742116	Monter urządzeń zdalnego sterowania i kontroli dyspozytorskiej metra
721503	Monter wiertni
821904	Monter wyrobów tekstylnych, z tektury i pokrewnych materiałów
821905	Monter wyrobów z drewna
821906	Monter wyrobów z tworzyw sztucznych
712905	Monter zabudowy i robót wykończeniowych w budownictwie
821306	Monter zestrajacz urządzeń elektronicznych
754901	Monter znaków nawigacyjnych
712903	Monter żaluzji
711604	Mostowniczy
833103	Motorniczy tramwaju
723316	Motorzysta statku morskiego
723317	Motorzysta żeglugi śródlądowej
711202	Murarz
711204	Murarz-tynkarz
262102	Muzealnik
265205	Muzyk reżyser dźwięku
343602	Muzyk
265206	Muzykolog
323008	Muzykoterapeuta
752103	Mygłowacz
N	
121303	Naczelnik / kierownik wydziału
214923	Nanotechnolog (inżynier nanostruktur)
933302	Napełniający zbiorniki transportowe
831207	Nastawniczy
323009	Naturopata
231001	Nauczyciel akademicki – nauki biologiczne
231002	Nauczyciel akademicki – nauki chemiczne
231003	Nauczyciel akademicki – nauki ekonomiczne
231004	Nauczyciel akademicki – nauki farmaceutyczne
231005	Nauczyciel akademicki – nauki fizyczne
231006	Nauczyciel akademicki – nauki humanistyczne
 
231007	Nauczyciel akademicki – nauki leśne
231008	Nauczyciel akademicki – nauki matematyczne
231009	Nauczyciel akademicki – nauki medyczne
231010	Nauczyciel akademicki – nauki o kulturze fizycznej
231011	Nauczyciel akademicki – nauki o Ziemi
231012	Nauczyciel akademicki – nauki prawne
231013	Nauczyciel akademicki – nauki rolnicze
231014	Nauczyciel akademicki – nauki techniczne
231015	Nauczyciel akademicki – nauki teologiczne
231016	Nauczyciel akademicki – nauki weterynaryjne
231017	Nauczyciel akademicki – nauki wojskowe
231018	Nauczyciel akademicki – sztuki filmowe
231019	Nauczyciel akademicki – sztuki muzyczne
231020	Nauczyciel akademicki – sztuki plastyczne
231021	Nauczyciel akademicki – sztuki teatralne
235904	Nauczyciel bibliotekarz
233001	Nauczyciel biologii
233002	Nauczyciel chemii
235105	Nauczyciel doradca metodyczny
233003	Nauczyciel etyki
234101	Nauczyciel etyki w szkole podstawowej
233004	Nauczyciel fizyki i astronomii
233005	Nauczyciel geografii
235201	Nauczyciel głuchych i niedosłyszących (surdopedagog)
233006	Nauczyciel historii
234102	Nauczyciel historii i społeczeństwa w szkole podstawowej
233007	Nauczyciel informatyki / technologii informacyjnej
234103	Nauczyciel informatyki w szkole podstawowej
235106	Nauczyciel instruktor
232001	Nauczyciel / instruktor praktycznej nauki zawodu
233008	Nauczyciel języka angielskiego
234104	Nauczyciel języka angielskiego w szkole podstawowej
233009	Nauczyciel języka francuskiego
234105	Nauczyciel języka francuskiego w szkole podstawowej
233010	Nauczyciel języka hiszpańskiego
234106	Nauczyciel języka hiszpańskiego w szkole podstawowej
233011	Nauczyciel języka niemieckiego
234107	Nauczyciel języka niemieckiego w szkole podstawowej
233012	Nauczyciel języka polskiego
234108	Nauczyciel języka polskiego w szkole podstawowej
233013	Nauczyciel języka rosyjskiego
234109	Nauczyciel języka rosyjskiego w szkole podstawowej
233014	Nauczyciel języka włoskiego
 
234110	Nauczyciel języka włoskiego w szkole podstawowej
235905	Nauczyciel konsultant
235906	Nauczyciel logopeda
233015	Nauczyciel matematyki
234111	Nauczyciel matematyki w szkole podstawowej
233016	Nauczyciel muzyki
235401	Nauczyciel muzyki w placówkach pozaszkolnych
234112	Nauczyciel muzyki w szkole podstawowej
235907	Nauczyciel na odległość
234113	Nauczyciel nauczania początkowego
235202	Nauczyciel niedostosowanych społecznie (socjoterapeuta)
235203	Nauczyciel niewidomych i niedowidzących (tyflopedagog)
233017	Nauczyciel plastyki
234114	Nauczyciel plastyki w szkole podstawowej
232002	Nauczyciel przedmiotów zawodowych artystycznych
232003	Nauczyciel przedmiotów zawodowych ekonomicznych
232004	Nauczyciel przedmiotów zawodowych medycznych
232005	Nauczyciel przedmiotów zawodowych rolniczych i leśnych
232006	Nauczyciel przedmiotów zawodowych technicznych
232007	Nauczyciel przedmiotów zawodowych turystycznych
233018	Nauczyciel przedsiębiorczości
234201	Nauczyciel przedszkola
235204	Nauczyciel przewlekle chorych i niepełnosprawnych ruchowo
234115	Nauczyciel przyrody w szkole podstawowej
233019	Nauczyciel przysposobienia obronnego
235908	Nauczyciel psycholog
233020	Nauczyciel religii
234116	Nauczyciel religii w szkole podstawowej
235909	Nauczyciel – specjalista terapii pedagogicznej
235503	Nauczyciel sztuki w placówkach pozaszkolnych
233021	Nauczyciel techniki
234117	Nauczyciel techniki w szkole podstawowej
235601	Nauczyciel technologii informatycznych w placówkach pozaszkolnych
235205	Nauczyciel upośledzonych umysłowo (oligofrenopedagog)
235910	Nauczyciel w placówkach pozaszkolnych
233022	Nauczyciel wiedzy o kulturze
233023	Nauczyciel wiedzy o społeczeństwie
233024	Nauczyciel wychowania do życia w rodzinie
233025	Nauczyciel wychowania fizycznego
234118	Nauczyciel wychowania fizycznego w szkole podstawowej
315302	Nawigator lotniczy
242104	Negocjator biznesowy
335501	Negocjator policyjny
 
214107	Normalizator
962107	Noszowy
261905	Notariusz
754102	Nurek
754103	Nurek saturowany
O	
313110	Obchodowy bloku
315303	Obserwator pokładowy prób w locie
753603	Obuwnik miarowy
753604	Obuwnik ortopedyczny
753605	Obuwnik przemysłowy
753602	Obuwnik
211406	Oceanolog
931204	Oczyszczacz kanalizacyjny (kanalarz)
721405	Oczyszczacz konstrukcji stalowych
962301	Odczytywacz liczników
731407	Odlewnik wyrobów ceramicznych
814203	Odlewnik wyrobów z materiałów polimerowych
432304	Odprawiacz pociągów
315102	Oficer elektroautomatyk okrętowy
315103	Oficer mechanik statku morskiego
315208	Oficer pokładowy
315209	Oficer portu
011101	Oficer sił zbrojnych
611307	Ogrodnik – uprawa grzybów jadalnych
611308	Ogrodnik – uprawa roślin ozdobnych
611309	Ogrodnik – uprawa warzyw polowych
611310	Ogrodnik – uprawy pod osłonami
611304	Ogrodnik producent nasion
611303	Ogrodnik
611305	Ogrodnik szkółkarz
611306	Ogrodnik terenów zieleni
834307	Operator - mechanik wyciągarki szybowcowej
313205	Operator (maszynista) stacji pomp
812103	Operator agregatów do obróbki cieplnej
815501	Operator agregatów natryskowych
413102	Operator aplikacji komputerowych
811403	Operator automatów ceglarskich i wapienno - piaskarskich
818101	Operator automatów do formowania wyrobów szklanych
721202	Operator automatów spawalniczych
722302	Operator automatycznej linii obróbki skrawaniem
311904	Operator badań defektoskopowych
 
351101	Operator bezprzewodowych sieci komputerowych
422301	Operator centrali telefonicznej
834104	Operator ciągników zrywkowych do zrywki podwieszanej
732108	Operator DTP
352111	Operator dźwięku
834306	Operator dźwignic linotorowych
413103	Operator edytorów tekstu
732109	Operator fotoskładu
811103	Operator górniczych urządzeń sygnalizacyjnych (sygnalista)
817101	Operator kalandrów wyrobów papierowych
352112	Operator kamery
351102	Operator komputerowych urządzeń peryferyjnych
811104	Operator koparki
811105	Operator koparko – ładowarki
732208	Operator kserokopiarek
817102	Operator linii do belowania makulatury
811106	Operator ładowarki
818102	Operator maszyn do formowania szkła płaskiego
814301	Operator maszyn do lakierowania i laminowania przetworów papierowych
722303	Operator maszyn do obróbki skrawaniem
812104	Operator maszyn do produkcji drutów i prętów
814302	Operator maszyn do produkcji opakowań z papieru i tektury
814303	Operator maszyn do produkcji papierowych artykułów piśmiennych
814304	Operator maszyn do produkcji papierowych artykułów toaletowych i sanitarnych
814305	Operator maszyn do produkcji papieru i tektury falistej
813102	Operator maszyn do produkcji papy
817201	Operator maszyn do produkcji płyt i sklejek
814306	Operator maszyn do produkcji sznurka i tulei
813103	Operator maszyn do produkcji taśm magnetycznych
815901	Operator maszyn do produkcji włóknin i przędzin
722304	Operator maszyn do produkcji wyrobów z drutu, lin, siatek i kabli
815101	Operator maszyn do przygotowania włókien
815301	Operator maszyn do szycia
752302	Operator maszyn do wyrobu kopyt i obcasów
834202	Operator maszyn drogowych
815201	Operator maszyn dziewiarskich
834203	Operator maszyn i sprzętu torowego
815502	Operator maszyn i urządzeń chemicznej obróbki skór
812105	Operator maszyn i urządzeń do obróbki plastycznej
811107	Operator maszyn i urządzeń do pozyskiwania torfu
722305	Operator maszyn i urządzeń do produkcji łożysk tocznych
814204	Operator maszyn i urządzeń do produkcji okien z tworzyw sztucznych
722306	Operator maszyn i urządzeń do produkcji opakowań blaszanych
 
811201	Operator maszyn i urządzeń do przerobu torfu
811202	Operator maszyn i urządzeń do przeróbki mechanicznej rud
811203	Operator maszyn i urządzeń do przeróbki mechanicznej węgla
814309	Operator maszyn i urządzeń do przetwórstwa tworzyw sztucznych
811204	Operator maszyn i urządzeń do rozdrabniania i sortowania surowców mineralnych
815503	Operator maszyn i urządzeń mechanicznej obróbki skór
812106	Operator maszyn i urządzeń metalurgicznych
812107	Operator maszyn i urządzeń odlewniczych
816003	Operator maszyn i urządzeń przemysłu spożywczego
752303	Operator maszyn i urządzeń wikliniarskich
732304	Operator maszyn introligatorskich
818301	Operator maszyn kopertujących
814307	Operator maszyn krojących i wykrawających do papieru
834105	Operator maszyn leśnych
834106	Operator maszyn ogrodniczych
815102	Operator maszyn przędzalniczych
815202	Operator maszyn przygotowawczych do wytwarzania płaskich wyrobów włókienniczych
834107	Operator maszyn rolniczych
815902	Operator maszyn tapicerskich
815203	Operator maszyn tkackich
811108	Operator maszyn urabiających i ładujących
815204	Operator maszyn w przemyśle włókienniczym
815401	Operator maszyn wykończalniczych wyrobów włókienniczych
813104	Operator maszyn zapałczanych
817103	Operator maszyny odwadniającej celulozę
817104	Operator maszyny papierniczej
812108	Operator maszyny rozlewniczej
817105	Operator maszyny tekturniczej
813201	Operator minilabu fotograficznego
834308	Operator mostu zwodzonego
912202	Operator myjni
834108	Operator nadsiębiernych ciągników zrywkowych
722307	Operator obrabiarek skrawających
722308	Operator obrabiarek sterowanych numerycznie
722309	Operator obrabiarek zespołowych
265402	Operator obrazu
811109	Operator obudów zmechanizowanych
815601	Operator obuwniczych urządzeń szwalniczych
818103	Operator odprężarek wyrobów szklanych
817106	Operator pergaminiarki
812109	Operator pieców do obróbki cieplnej
817202	Operator pilarek do pozyskiwania tarcicy
 
831208	Operator pociągowy
315304	Operator pokładowych urządzeń specjalnych
814308	Operator pras do formowania wyrobów z masy papierniczej
722103	Operator pras kuźniczych
817203	Operator pras w produkcji drzewnej
834309	Operator przenośników
834310	Operator przenośników taśmowych
815103	Operator przewijarek i skręcarek nitek
311905	Operator reaktora
813105	Operator reaktorów i autoklawów
313903	Operator robotów i manipulatorów przemysłowych
351301	Operator sieci komputerowych
732110	Operator skanera poligraficznego
817204	Operator sklejarek płyt stolarskich
817205	Operator skrawarek drewna
817206	Operator spajarek okleiny i łuszczki
313206	Operator spalarni odpadów komunalnych
834204	Operator sprzętu ciężkiego
351302	Operator sprzętu komputerowego
352113	Operator sprzętu zdjęciowego (wózkarz)
811110	Operator spycharki
817207	Operator strugarek i frezarek do drewna
834311	Operator suwnic (suwnicowy)
351303	Operator systemów komputerowych
754104	Operator systemów nurkowych
321101	Operator systemów sterylizacji artykułów sanitarnych, sprzętu i aparatów medycznych
315210	Operator systemu VTS
834312	Operator śluzy, jazu, zapory i pompowni
315305	Operator tankowania statków powietrznych
817107	Operator urządzeń bielących masy włókniste
813106	Operator urządzeń destylacyjnych
818104	Operator urządzeń do chemicznego polerowania szkła
812110	Operator urządzeń do ciągłego odlewania stali
814205	Operator urządzeń do cięcia folii i płyt
813107	Operator urządzeń do ekstrakcji
812201	Operator urządzeń do elektroforetycznego nakładania powłok
812111	Operator urządzeń do elektrolitycznego uzyskiwania metali
812202	Operator urządzeń do emaliowania
811404	Operator urządzeń do formowania bloków i tynków gipsowych
818105	Operator urządzeń do formowania i przetwórstwa włókna szklanego
818106	Operator urządzeń do formowania wyrobów ceramicznych
818107	Operator urządzeń do formowania wyrobów ogniotrwałych
818108	Operator urządzeń do formowania wyrobów sylikatowych
 
814206	Operator urządzeń do formowania wyrobów z tworzyw sztucznych
818109	Operator urządzeń do gięcia szkła
818110	Operator urządzeń do hartowania szkła
817108	Operator urządzeń do impregnowania i powlekania wyrobów papierowych
815903	Operator urządzeń do klejenia elementów odzieży
816004	Operator urządzeń do konfekcjonowania herbaty
817208	Operator urządzeń do końcowej obróbki płyt
813108	Operator urządzeń do krystalizacji
818111	Operator urządzeń do matowania wyrobów szklanych
817109	Operator urządzeń do mielenia masy włóknistej
818302	Operator urządzeń do mycia, napełniania i zamykania butelek
812203	Operator urządzeń do nakładania powłok galwanicznych
812204	Operator urządzeń do natryskowego nakładania powłok
813202	Operator urządzeń do obróbki błon i filmów fotograficznych
813109	Operator urządzeń do obróbki cieplnej chemikaliów
811302	Operator urządzeń do obróbki odwiertów wydobywczych
818112	Operator urządzeń do obróbki płomieniowej szkła
816005	Operator urządzeń do obróbki surowca mleczarskiego
818901	Operator urządzeń do paletyzacji
812205	Operator urządzeń do platerowania
752304	Operator urządzeń do polerowania drewna
815701	Operator urządzeń do prania, prasowania i chemicznego czyszczenia tekstyliów
813110	Operator urządzeń do produkcji cementu
813111	Operator urządzeń do produkcji chemikaliów nieorganicznych
813112	Operator urządzeń do produkcji chemikaliów organicznych
816006	Operator urządzeń do produkcji cukru
813113	Operator urządzeń do produkcji dezynfektantów
811405	Operator urządzeń do produkcji elementów z betonu komórkowego
813114	Operator urządzeń do produkcji gazów technicznych
813115	Operator urządzeń do produkcji katalizatorów
816007	Operator urządzeń do produkcji koncentratów spożywczych
816008	Operator urządzeń do produkcji majonezu i musztardy
816009	Operator urządzeń do produkcji makaronu
811406	Operator urządzeń do produkcji mas asfaltobetonowych
813116	Operator urządzeń do produkcji mas bitumicznych
813117	Operator urządzeń do produkcji materiałów półprzewodnikowych
818113	Operator urządzeń do produkcji materiałów ściernych
813118	Operator urządzeń do produkcji materiałów wybuchowych i pokrewnych
816010	Operator urządzeń do produkcji napojów bezalkoholowych
813119	Operator urządzeń do produkcji nawozów sztucznych
813120	Operator urządzeń do produkcji ołówków
816011	Operator urządzeń do produkcji pasz
816012	Operator urządzeń do produkcji pieczywa
 
816013	Operator urządzeń do produkcji piwa
813121	Operator urządzeń do produkcji sadzy
816014	Operator urządzeń do produkcji spirytusu
813122	Operator urządzeń do produkcji sztucznej skóry
813123	Operator urządzeń do produkcji środków piorących i myjących
818114	Operator urządzeń do produkcji termosów
816015	Operator urządzeń do produkcji tłuszczów roślinnych
813124	Operator urządzeń do produkcji węgli aktywnych
816016	Operator urządzeń do produkcji wina
813125	Operator urządzeń do produkcji włókien chemicznych
816017	Operator urządzeń do produkcji wyrobów cukierniczych
813126	Operator urządzeń do produkcji wyrobów farmaceutycznych
813127	Operator urządzeń do produkcji wyrobów kosmetycznych
